200304130001-001	1020	20030413	1	1001891	1	34.5
200304130002-001	1020	20030413	1	1001171	1	2.3
200304130002-001	1020	20030413	2	1006479	1	10.2
200304130002-001	1020	20030413	3	1006050	1	1
200304130002-001	1020	20030413	4	1004030	2	1.8
200304130003-001	1020	20030413	1	1006025	1	0.8
200304130003-001	1020	20030413	2	1007304	1	2.6
200304130003-001	1020	20030413	3	1014959	1	1.7
200304130003-001	1020	20030413	4	1007341	1	5.9
200304130003-001	1020	20030413	5	1022197	0.185	15.4
200304130003-001	1020	20030413	6	1010869	1	37.9
200304130003-001	1020	20030413	7	1021766	0.25	7.8
200304130004-001	1020	20030413	1	1002323	1	1.5
200304130004-001	1020	20030413	2	1001694	1	2.5
200304130004-001	1020	20030413	3	1022693	0.06	14.4
200304130004-001	1020	20030413	4	1022762	0.055	28.8
200304130004-001	1020	20030413	5	1022926	0.03	17.8
200304130004-001	1020	20030413	6	1023754	0.115	15.1
200304130004-001	1020	20030413	7	1004074	1	3
200304130004-001	1020	20030413	8	1020648	1	4.5
200304130004-001	1020	20030413	9	1009375	1	2.3
200304130004-001	1020	20030413	10	1000687	2	0.8
200304130004-001	1020	20030413	11	1006706	1	15
200304130005-001	1020	20030413	1	1024532	3	2.3
200304130005-001	1020	20030413	2	1002668	1	3.8
200304130005-001	1020	20030413	3	1014760	1	7.2
200304130005-001	1020	20030413	4	1010451	1	15.2
200304130006-001	1020	20030413	1	1001782	1	2.4
200304130006-001	1020	20030413	2	1002595	1	17.4
200304130006-001	1020	20030413	3	1006684	1	28.6
200304130007-001	1020	20030413	1	1000924	2	1.5
200304130007-001	1020	20030413	2	1022155	0.32	16.8
200304130008-001	1020	20030413	1	1005726	1	2.3
200304130008-001	1020	20030413	2	1006025	1	0.8
200304130009-001	1020	20030413	1	1023696	10	1.5
200304130010-001	1020	20030413	1	1001528	3	3.3
200304130011-001	1020	20030413	1	1021766	0.435	7.8
200304130011-001	1020	20030413	2	1021110	1	4.9
200304130011-001	1020	20030413	3	1006736	1	3
200304130011-001	1020	20030413	4	1006063	1	2.4
200304130012-001	1020	20030413	1	1015332	1	10.8
200304130012-001	1020	20030413	2	1006151	1	7.1
200304130013-001	1020	20030413	1	1001812	2	1.8
200304130013-001	1020	20030413	2	1002408	2	1.8
200304130014-001	1020	20030413	1	1002282	1	2.2
200304130015-001	1020	20030413	1	1017058	1	2.4
200304130015-001	1020	20030413	2	1021766	0.41	7.8
200304130016-001	1020	20030413	1	1021603	1	2.9
200304130017-001	1020	20030413	1	1004848	1	2.2
200304130017-001	1020	20030413	2	1004858	1	2.2
200304130017-001	1020	20030413	3	1005369	1	2.2
200304130017-001	1020	20030413	4	1004543	1	10.8
200304130017-001	1020	20030413	5	1015158	1	7.8
200304130017-001	1020	20030413	6	1005383	1	2.2
200304130017-001	1020	20030413	7	1002824	1	7.3
200304130018-001	1020	20030413	1	1001509	1	6.9
200304130018-001	1020	20030413	2	1001101	4	0.8
200304130019-001	1020	20030413	1	1007341	1	5.9
